STRUCTURE,DISTANCE_SER,ENERGY,MET,DISTANCE_MET,TYR,DISTANCE_TYR,DIHEDRAL,CONFORMATION,VARIANT,TEMPERATURE,DOCKING
resultsDocking_TSPETase_303_C456-f6688-s16_PET_dimer_007_mini.yob,2.826,-4.376,YES,3.013,YES,2.803,47.824,undefined,TSPETase,303,007
resultsDocking_WT_303_C236-f4111-s28_PET_dimer_005_mini.yob,2.841,-5.124,YES,2.939,YES,2.834,51.101,gauche,WT,303,005
resultsDocking_S214H_315_C3-f70-s20_PET_dimer_016_mini.yob,2.842,-4.319,YES,2.94,YES,2.845,77.065,gauche,S214H,315,016
resultsDocking_TSPETase_315_C104-f4723-s24_PET_dimer_012_mini.yob,2.845,-5.751,YES,2.974,YES,2.87,80.643,gauche,TSPETase,315,012
resultsDocking_S214H_315_C3-f70-s20_PET_dimer_015_mini.yob,2.846,-4.325,YES,2.993,YES,2.831,65.709,gauche,S214H,315,015
resultsDocking_DuraPETase_303_C143-f2685-s45_PET_dimer_002_mini.yob,2.848,-5.643,YES,3.349,YES,2.854,19.387,undefined,DuraPETase,303,002
resultsDocking_TSPETase_303_C453-f7217-s17_PET_dimer_011_mini.yob,2.849,-5.704,NO,4.079,YES,2.846,6.015,undefined,TSPETase,303,011
resultsDocking_WT_303_C307-f3842-s34_PET_dimer_007_mini.yob,2.852,-4.905,YES,2.935,YES,2.903,73.58,gauche,WT,303,007
resultsDocking_DuraPETase_303_C135-f3369-s65_PET_dimer_003_mini.yob,2.857,-5.452,YES,3.213,YES,2.825,25.91,undefined,DuraPETase,303,003
resultsDocking_DuraPETase_303_C144-f2426-s28_PET_dimer_013_mini.yob,2.858,-4.798,YES,3.394,YES,2.844,12.623,undefined,DuraPETase,303,013
resultsDocking_S214H_315_C87-f2953-s42_PET_dimer_004_mini.yob,2.858,-5.311,YES,3.318,YES,2.821,25.415,undefined,S214H,315,004
resultsDocking_DuraPETase_315_C31-f1596-s15_PET_dimer_008_mini.yob,2.859,-5.169,YES,3.189,YES,2.869,25.052,undefined,DuraPETase,315,008
resultsDocking_DuraPETase_303_C144-f2426-s28_PET_dimer_008_mini.yob,2.864,-5.035,YES,3.051,YES,2.894,45.407,undefined,DuraPETase,303,008
resultsDocking_WT_303_C232-f3333-s22_PET_dimer_006_mini.yob,2.866,-6.47,YES,2.879,YES,2.884,57.275,gauche,WT,303,006
resultsDocking_S214H_315_C83-f8831-s9_PET_dimer_005_mini.yob,2.867,-6.443,YES,2.979,YES,2.874,68.66,gauche,S214H,315,005
resultsDocking_WT_303_C447-f4650-s20_PET_dimer_007_mini.yob,2.867,-4.756,YES,3.12,YES,2.871,38.124,undefined,WT,303,007
resultsDocking_S214H_315_C92-f3016-s44_PET_dimer_001_mini.yob,2.868,-5.614,YES,3.147,YES,2.827,38.4,undefined,S214H,315,001
resultsDocking_DuraPETase_303_C124-f4713-s37_PET_dimer_001_mini.yob,2.869,-6.292,YES,3.02,YES,2.827,35.645,undefined,DuraPETase,303,001
resultsDocking_TSPETase_315_C181-f2347-s20_PET_dimer_004_mini.yob,2.87,-5.404,NO,3.523,YES,2.907,39.523,undefined,TSPETase,315,004
resultsDocking_DuraPETase_315_C50-f328-s34_PET_dimer_008_mini.yob,2.87,-5.39,YES,3.046,YES,2.916,42.997,undefined,DuraPETase,315,008
resultsDocking_S214H_315_C283-f6696-s32_PET_dimer_001_mini.yob,2.871,-5.44,YES,3.237,YES,2.846,24.912,undefined,S214H,315,001
resultsDocking_DuraPETase_303_C184-f5810-s44_PET_dimer_005_mini.yob,2.872,-5.25,YES,3.134,YES,2.889,40.768,undefined,DuraPETase,303,005
resultsDocking_TSPETase_315_C184-f5895-s18_PET_dimer_003_mini.yob,2.873,-5.191,YES,3.413,YES,2.831,52.227,gauche,TSPETase,315,003
resultsDocking_S214H_315_C92-f3016-s44_PET_dimer_005_mini.yob,2.874,-5.27,YES,3.087,YES,2.884,39.056,undefined,S214H,315,005
resultsDocking_DuraPETase_303_C225-f3247-s25_PET_dimer_003_mini.yob,2.875,-5.077,YES,3.209,YES,2.826,38.329,undefined,DuraPETase,303,003
resultsDocking_TSPETase_315_C149-f5317-s19_PET_dimer_008_mini.yob,2.876,-6.273,YES,2.908,YES,2.83,80.977,gauche,TSPETase,315,008
resultsDocking_S214H_303_C51-f7921-s52_PET_dimer_004_mini.yob,2.877,-4.936,YES,3.426,YES,2.818,25.223,undefined,S214H,303,004
resultsDocking_TSPETase_315_C279-f6634-s38_PET_dimer_009_mini.yob,2.877,-4.736,YES,3.389,YES,2.867,36.598,undefined,TSPETase,315,009
resultsDocking_WT_315_C19-f4923-s17_PET_dimer_009_mini.yob,2.878,-6.631,YES,2.927,YES,2.847,37.545,undefined,WT,315,009
resultsDocking_DuraPETase_315_C27-f1450-s42_PET_dimer_008_mini.yob,2.878,-5.103,YES,3.153,YES,2.845,47.83,undefined,DuraPETase,315,008
resultsDocking_TSPETase_315_C279-f6634-s38_PET_dimer_004_mini.yob,2.879,-4.971,YES,3.294,YES,2.832,26.831,undefined,TSPETase,315,004
resultsDocking_S214H_315_C67-f3320-s61_PET_dimer_003_mini.yob,2.883,-5.23,NO,3.707,YES,2.794,37.897,undefined,S214H,315,003
resultsDocking_S214H_303_C144-f8088-s20_PET_dimer_010_mini.yob,2.884,-6.106,YES,2.875,YES,2.921,56.567,gauche,S214H,303,010
resultsDocking_DuraPETase_303_C157-f6716-s32_PET_dimer_013_mini.yob,2.884,-4.831,NO,4.072,NO,3.734,2.711,undefined,DuraPETase,303,013
resultsDocking_DuraPETase_315_C59-f405-s33_PET_dimer_007_mini.yob,2.885,-4.934,YES,3.303,YES,2.833,21.089,undefined,DuraPETase,315,007
resultsDocking_S214H_315_C92-f3016-s44_PET_dimer_010_mini.yob,2.885,-4.985,YES,3.126,YES,2.844,40.281,undefined,S214H,315,010
resultsDocking_WT_315_C405-f4610-s17_PET_dimer_004_mini.yob,2.886,-6.577,YES,2.921,YES,2.803,38.15,undefined,WT,315,004
resultsDocking_WT_303_C8-f1495-s24_PET_dimer_013_mini.yob,2.886,-5.031,YES,2.881,YES,2.878,51.887,gauche,WT,303,013
resultsDocking_TSPETase_303_C108-f418-s23_PET_dimer_004_mini.yob,2.887,-5.529,YES,3.014,YES,2.837,43.266,undefined,TSPETase,303,004
resultsDocking_S214H_303_C274-f3685-s31_PET_dimer_008_mini.yob,2.888,-5.992,NO,3.749,YES,2.836,22.05,undefined,S214H,303,008
resultsDocking_DuraPETase_303_C178-f1664-s26_PET_dimer_004_mini.yob,2.888,-5.647,YES,3.191,YES,2.868,42.838,undefined,DuraPETase,303,004
resultsDocking_WT_315_C97-f5186-s38_PET_dimer_016_mini.yob,2.889,-6.246,YES,3.13,YES,2.905,26.389,undefined,WT,315,016
resultsDocking_DuraPETase_303_C188-f3417-s23_PET_dimer_004_mini.yob,2.889,-5.817,YES,3.071,YES,2.834,39.879,undefined,DuraPETase,303,004
resultsDocking_DuraPETase_303_C178-f1664-s26_PET_dimer_006_mini.yob,2.889,-5.511,YES,3.199,YES,2.868,45.137,undefined,DuraPETase,303,006
resultsDocking_DuraPETase_303_C115-f4794-s61_PET_dimer_018_mini.yob,2.89,-6.323,YES,3.396,YES,2.849,16.182,undefined,DuraPETase,303,018
resultsDocking_S214H_315_C79-f3232-s27_PET_dimer_002_mini.yob,2.891,-6.852,YES,2.914,YES,2.876,63.683,gauche,S214H,315,002
resultsDocking_DuraPETase_303_C157-f6716-s32_PET_dimer_009_mini.yob,2.891,-4.958,YES,3.224,YES,2.853,27.894,undefined,DuraPETase,303,009
resultsDocking_WT_315_C97-f5186-s38_PET_dimer_017_mini.yob,2.891,-6.174,YES,3.428,YES,2.852,32.307,undefined,WT,315,017
resultsDocking_WT_303_C236-f4111-s28_PET_dimer_010_mini.yob,2.892,-4.981,YES,3.229,YES,2.88,17.711,undefined,WT,303,010
resultsDocking_TSPETase_315_C314-f1997-s14_PET_dimer_002_mini.yob,2.893,-6.273,YES,3.355,YES,2.883,16.843,undefined,TSPETase,315,002
resultsDocking_TSPETase_303_C295-f5245-s34_PET_dimer_002_mini.yob,2.893,-5.358,YES,3.205,YES,2.807,17.171,undefined,TSPETase,303,002
resultsDocking_WT_303_C335-f3885-s16_PET_dimer_007_mini.yob,2.893,-6.501,YES,3.082,YES,2.95,24.935,undefined,WT,303,007
resultsDocking_S214H_315_C67-f3320-s61_PET_dimer_015_mini.yob,2.894,-4.974,NO,3.522,YES,2.801,32.123,undefined,S214H,315,015
resultsDocking_TSPETase_303_C266-f5247-s35_PET_dimer_012_mini.yob,2.894,-5.029,YES,3.142,YES,2.833,44.645,undefined,TSPETase,303,012
resultsDocking_DuraPETase_303_C14-f156-s24_PET_dimer_001_mini.yob,2.894,-5.565,YES,3.356,YES,2.881,43.572,undefined,DuraPETase,303,001
resultsDocking_TSPETase_315_C279-f6634-s38_PET_dimer_016_mini.yob,2.895,-4.394,YES,3.015,YES,2.807,37.201,undefined,TSPETase,315,016
resultsDocking_DuraPETase_303_C183-f3628-s32_PET_dimer_013_mini.yob,2.895,-5.016,YES,3.162,YES,2.852,40.034,undefined,DuraPETase,303,013
