FRAME,DIHEDROS
0,-124.479
1,-139.834
2,-126.738
3,-109.907
4,-137.072
5,-124.29
6,-125.624
7,-118.613
8,-117.089
9,-116.768
10,-134.441
11,-122.513
12,-104.072
13,-133.227
14,-118.536
15,-122.254
16,-127.124
17,-130.026
18,-113.384
19,-126.595
20,-115.955
21,-121.049
22,-117.575
23,-129.438
24,-129.121
25,-121.202
26,-112.67
27,-100.449
28,-126.76
29,-128.359
30,-153.038
31,-121.582
32,-110.655
33,-115.896
34,-133.238
35,-140.156
36,-116.091
37,-120.445
38,-127.634
39,-129.213
40,-144.122
41,-124.08
42,-115.87
43,-124.241
44,-125.627
45,-127.893
46,-140.558
47,-137.892
48,-139.43
49,-107.759
50,-128.86
51,-88.398
52,-138.272
53,-118.348
54,-125.798
55,-116.922
56,-134.32
57,-112.396
58,-130.938
59,-102.089
60,-124.505
61,-136.221
62,-114.245
63,-123.353
64,-113.108
65,-110.261
66,-110.685
67,-139.225
68,-118.331
69,-123.854
70,-116.795
71,-112.538
72,-114.759
73,-124.902
74,-130.094
75,-132.216
76,-118.458
77,-127.553
78,-118.699
79,-121.373
80,-118.079
81,-120.522
82,-121.416
83,-123.199
84,-146.889
85,-123.479
86,-125.644
87,-120.733
88,-126.727
89,-127.987
90,-125.248
91,-139.489
92,-122.228
93,-116.928
94,-118.618
95,-116.231
96,-96.715
97,-155.814
98,-133.611
99,-126.248
100,-120.581
101,-119.321
102,-138.31
103,-111.78
104,-138.807
105,-115.53
106,-112.787
107,-112.638
108,-119.919
109,-133.119
110,-121.018
111,-115.955
112,-106.282
113,-115.662
114,-125.774
115,-135.129
116,-125.14
117,-113.96
118,-108.201
119,-126.173
120,-129.041
121,-139.274
122,-106.416
123,-115.542
124,-110.319
125,-123.69
126,-127.689
127,-129.432
128,-119.91
129,-94.571
130,-131.481
131,-120.946
132,-114.523
133,-125.105
134,-133.801
135,-128.989
136,-129.839
137,-128.87
138,-123.163
139,-127.236
140,-126.434
141,-143.404
142,-138.552
143,-138.42
144,-106.834
145,-125.819
146,-125.055
147,-106.464
148,-143.56
149,-125.351
150,-132.722
151,-132.823
152,-108.096
153,-140.475
154,-148.089
155,-124.253
156,-109.554
157,-130.525
158,-111.884
159,-93.759
160,-132.69
161,-122.132
162,-127.758
163,-123.146
164,-142.782
165,-131.29
166,-129.534
167,-117.618
168,-110.319
169,-124.205
170,-148.062
171,-137.694
172,-114.747
173,-120.188
174,-112.763
175,-126.832
176,-118.139
177,-146.547
178,-125.399
179,-97.313
180,-118.603
181,-107.309
182,-131.049
183,-108.712
184,-135.247
185,-141.065
186,-111.722
187,-117.365
188,-117.996
189,-124.35
190,-124.205
191,-124.46
192,-118.176
193,-123.926
194,-133.148
195,-141.809
196,-118.423
197,-154.42
198,-124.014
199,-130.242
200,-128.289
201,-121.368
202,-138.719
203,-110.189
204,-130.37
205,-111.668
206,-124.361
207,-129.711
208,-126.479
209,-147.208
210,-114.173
211,-121.584
212,-137.802
213,-119.073
214,-133.58
215,-128.303
216,-128.663
217,-150.892
218,-118.17
219,-128.521
220,-124.781
221,-95.448
222,-116.261
223,-129.54
224,-123.029
225,-133.719
226,-120.058
227,-118.304
228,-119.884
229,-118.241
230,-118.103
231,-120.511
232,-129.522
233,-112.774
234,-113.036
235,-124.936
236,-142.715
237,-125.108
238,-106.332
239,-117.555
240,-122.701
241,-128.2
242,-119.375
243,-99.48
244,-123.328
245,-137.165
246,-125.876
247,-123.405
248,-127.085
249,-120.491
250,-137.277
251,-129.862
252,-135.144
253,-113.799
254,-124.978
255,-115.525
256,-119.059
257,-112.614
258,-117.119
259,-141.839
260,-119.632
261,-134.765
262,-135.114
263,-123.476
264,-116.777
265,-139.085
266,-134.62
267,-112.254
268,-134.844
269,-112.596
270,-114.336
271,-139.447
272,-124.885
273,-129.022
274,-127.814
275,-123.252
276,-126.586
277,-127.113
278,-139.116
279,-148.461
280,-140.005
281,-125.411
282,-127.26
283,-117.74
284,-132.625
285,-121.375
286,-118.231
287,-134.88
288,-148.164
289,-132.684
290,-135.315
291,-111.094
292,-129.7
293,-120.351
294,-113.13
295,-121.943
296,-121.337
297,-136.571
298,-120.966
299,-112.178
300,-131.731
301,-128.65
302,-99.903
303,-113.577
304,-125.086
305,-120.422
306,-122.81
307,-122.727
308,-124.037
309,-121.977
310,-138.738
311,-122.074
312,-128.98
313,-112.118
314,-126.065
315,-112.389
316,-135.362
317,-108.541
318,-121.042
319,-116.022
320,-121.887
321,-132.35
322,-109.693
323,-119.449
324,-110.172
325,-125.573
326,-139.381
327,-113.219
328,-129.846
329,-119.325
330,-136.527
331,-127.197
332,-98.428
333,-127.428
334,-96.475
335,-130.835
336,-142.803
337,-130.642
338,-131.697
339,-109.327
340,-118.713
341,-119.022
342,-128.722
343,-125.84
344,-112.341
345,-129.996
346,-135.345
347,-132.991
348,-133.449
349,-105.026
350,-134.483
351,-119.429
352,-113.929
353,-138.215
354,-138.164
355,-132.439
356,-116.023
357,-115.013
358,-147.202
359,-133.033
360,-124.128
361,-138.183
