FRAME,DIHEDROS
0,-137.357
1,-125.729
2,-129.798
3,-127.711
4,-109.392
5,-118.98
6,-116.338
7,-126.721
8,-118.408
9,-119.183
10,-84.802
11,-103.586
12,-127.78
13,-115.14
14,-79.904
15,-100.181
16,-89.729
17,-101.765
18,-123.197
19,-89.973
20,-94.981
21,-94.616
22,-84.108
23,-99.664
24,-108.767
25,-95.677
26,-90.811
27,-96.627
28,-92.843
29,-114.688
30,-106.754
31,-92.12
32,-95.585
33,-86.226
34,-106.644
35,-90.715
36,-93.109
37,-100.239
38,-132.537
39,-91.868
40,-99.373
41,-98.802
42,-91.689
43,-96.258
44,-99.988
45,-94.955
46,-93.66
47,-86.882
48,-86.689
49,-86.106
50,-98.395
51,-104.945
52,-115.427
53,-108.586
54,-117.361
55,-99.963
56,-105.79
57,-103.865
58,-100.904
59,-107.912
60,-89.308
61,-93.863
62,-93.946
63,-113.139
64,-110.395
65,-97.973
66,-75.219
67,-91.303
68,-107.484
69,-89.544
70,-104.416
71,-124.677
72,-84.042
73,-98.195
74,-100.132
75,-110.846
76,-93.252
77,-97.835
78,-103.065
79,-120.432
80,-91.484
81,-92.766
82,-78.027
83,-106.395
84,-98.965
85,-107.848
86,-97.071
87,-86.867
88,-96.722
89,-84.962
90,-94.093
91,-106.481
92,-103.71
93,-101.4
94,-103.531
95,-98.15
96,-101.83
97,-102.696
98,-111.663
99,-103.17
100,-95.73
101,-97.933
102,-98.167
103,-101.088
104,-92.502
105,-90.672
106,-107.582
107,-83.852
108,-87.328
109,-89.681
110,-116.463
111,-93.084
112,-95.015
113,-100.818
114,-84.517
115,-103.107
116,-103.571
117,-107.735
118,-90.092
119,-115.418
120,-105.801
121,-106.905
122,-139.814
123,-86.49
124,-103.986
125,-107.561
126,-103.907
127,-113.115
128,-115.414
129,-99.689
130,-82.352
131,-103.074
132,-110.295
133,-119.038
134,-98.955
135,-132.628
136,-110.74
137,-106.053
138,-113.232
139,-98.503
140,-88.981
141,-111.421
142,-92.655
143,-106.3
144,-100.508
145,-103.167
146,-100.072
147,-107.601
148,-87.298
149,-101.977
150,-121.496
151,-104.721
152,-119.697
153,-108.117
154,-101.34
155,-100.543
156,-106.218
157,-114.708
158,-135.659
159,-110.763
160,-93.339
161,-96.674
162,-95.281
163,-111.159
164,-108.946
165,-81.123
166,-93.324
167,-108.554
168,-95.794
169,-90.498
170,-106.471
171,-118.01
172,-102.247
173,-90.69
174,-97.233
175,-106.654
176,-93.361
177,-106.457
178,-113.785
179,-113.983
180,-97.757
181,-123.341
182,-112.599
183,-94.071
184,-100.571
185,-120.433
186,-115.166
187,-100.07
188,-119.592
189,-114.933
190,-115.891
191,-93.493
192,-96.812
193,-91.203
194,-123.256
195,-104.279
196,-95.506
197,-108.405
198,-90.264
199,-121.78
200,-102.305
201,-117.78
202,-111.892
203,-105.877
204,-94.668
205,-113.814
206,-89.153
207,-114.012
208,-94.291
209,-97.426
210,-77.624
211,-82.146
212,-99.16
213,-101.732
214,-88.935
215,-99.849
216,-103.32
217,-104.687
218,-102.439
219,-112.022
220,-118.008
221,-89.224
222,-111.696
223,-104.765
224,-108.271
225,-107.278
226,-91.948
227,-107.057
228,-118.293
229,-101.108
230,-110.459
231,-108.515
232,-116.095
233,-99.666
234,-104.269
