FRAME,HB_SER_HIS,DISTANCE_SER_HIS,HB_HIS_ASP,DISTANCE_HIS_ASP,DISTANCE_SER,ENERGY,OX_HB_MET,DISTANCE_MET,OX_HB_TYR,DISTANCE_TYR,DIHEDRAL,CONFORMATION,DIHEDRAL_159,DIHEDRAL_185,DIHEDRAL_237,STRUCTURE
0,NO,2.389,YES,1.745,3.489,-6.61,NO,3.779,YES,2.829,67.38,GAUCHE,-147.512,-82.624,-122.483,S214H_dimer_validated_mini00000.yob
1,NO,2.12,YES,1.767,2.745,-6.61,YES,3.321,YES,2.802,63.662,GAUCHE,-145.21,-81.818,-107.068,S214H_dimer_validated_mini00001.yob
2,YES,1.94,YES,1.763,3.138,-6.61,YES,3.054,YES,2.993,82.146,GAUCHE,-139.68,-70.678,-106.611,S214H_dimer_validated_mini00002.yob
3,NO,3.032,YES,1.836,3.295,-6.61,NO,3.565,YES,2.84,72.121,GAUCHE,-156.211,-80.482,-110.581,S214H_dimer_validated_mini00003.yob
4,YES,2.03,YES,1.802,3.16,-6.61,NO,3.561,YES,2.846,77.386,GAUCHE,-141.475,-85.65,-123.62,S214H_dimer_validated_mini00004.yob
5,YES,1.987,YES,1.789,3.249,-6.61,NO,3.891,YES,2.904,66.925,GAUCHE,-149.786,-70.929,-130.83,S214H_dimer_validated_mini00005.yob
6,YES,1.815,YES,1.79,3.121,-6.61,NO,3.838,YES,2.772,64.567,GAUCHE,-155.503,-89.714,-130.033,S214H_dimer_validated_mini00006.yob
7,NO,2.426,YES,1.71,3.22,-6.61,NO,3.867,YES,2.785,68.451,GAUCHE,-159.081,-70.821,-123.131,S214H_dimer_validated_mini00007.yob
8,YES,1.767,YES,1.802,3.074,-6.61,NO,3.537,YES,2.859,63.943,GAUCHE,-136.654,-77.112,-114.087,S214H_dimer_validated_mini00008.yob
9,NO,3.025,YES,1.791,3.469,-6.61,NO,4.468,YES,3.087,88.857,GAUCHE,-158.146,-80.238,-118.912,S214H_dimer_validated_mini00009.yob
10,NO,3.011,YES,1.743,3.363,-6.61,NO,4.312,YES,3.096,70.55,GAUCHE,-156.021,-80.382,-111.772,S214H_dimer_validated_mini00010.yob
11,YES,1.874,YES,1.816,3.499,-6.61,NO,4.068,YES,2.802,51.03,GAUCHE,-151.484,-80.286,-124.875,S214H_dimer_validated_mini00011.yob
12,NO,2.893,YES,1.749,3.584,-6.61,NO,4.435,YES,3.272,59.972,GAUCHE,-148.794,-68.154,-135.564,S214H_dimer_validated_mini00012.yob
13,YES,1.894,YES,1.871,2.963,-6.61,NO,3.67,YES,2.885,69.888,GAUCHE,-138.616,-82.246,-143.197,S214H_dimer_validated_mini00013.yob
14,YES,2.081,YES,1.839,3.348,-6.61,NO,4.056,YES,3.262,43.645,UNDEFINED,-126.322,-74.886,-116.098,S214H_dimer_validated_mini00014.yob
15,NO,2.302,YES,1.764,3.654,-6.61,NO,4.241,YES,2.827,77.823,GAUCHE,-146.169,-80.536,-121.661,S214H_dimer_validated_mini00015.yob
16,YES,2.247,YES,1.851,3.84,-6.61,NO,4.236,YES,2.916,75.965,GAUCHE,-148.06,-75.383,-128.243,S214H_dimer_validated_mini00016.yob
17,YES,1.991,YES,1.757,3.503,-6.61,NO,4.345,YES,2.854,80.674,GAUCHE,-142.664,-86.655,-133.709,S214H_dimer_validated_mini00017.yob
18,NO,3.097,YES,1.754,3.505,-6.61,NO,4.469,YES,2.979,76.269,GAUCHE,-155.571,-77.066,-143.623,S214H_dimer_validated_mini00018.yob
19,YES,2.114,YES,1.655,3.299,-6.61,NO,4.011,YES,2.811,69.741,GAUCHE,-143.345,-76.098,-132.511,S214H_dimer_validated_mini00019.yob
20,NO,2.322,YES,1.769,3.358,-6.61,NO,4.057,YES,2.87,92.496,UNDEFINED,-157.35,-78.792,-133.434,S214H_dimer_validated_mini00020.yob
21,YES,2.338,YES,1.678,3.404,-6.61,NO,4.183,YES,2.947,62.402,GAUCHE,-149.14,-82.997,-135.771,S214H_dimer_validated_mini00021.yob
22,YES,2.309,YES,1.822,3.54,-6.61,NO,4.086,YES,2.975,85.96,GAUCHE,-132.378,-81.537,-140.89,S214H_dimer_validated_mini00022.yob
