FRAME,HB_SER_HIS,DISTANCE_SER_HIS,HB_HIS_ASP,DISTANCE_HIS_ASP,DISTANCE_SER,ENERGY,OX_HB_MET,DISTANCE_MET,OX_HB_TYR,DISTANCE_TYR,DIHEDRAL,CONFORMATION,DIHEDRAL_159,DIHEDRAL_185,DIHEDRAL_237,STRUCTURE
0,YES,2.129,YES,1.723,3.316,-5.44,NO,3.592,YES,2.902,80.893,GAUCHE,-144.637,-80.222,-123.494,WT_Dimer_validated_mini00000.yob
1,NO,2.477,YES,1.87,3.917,-5.44,NO,4.345,YES,2.903,75.947,GAUCHE,-145.197,-75.889,-117.421,WT_Dimer_validated_mini00001.yob
2,NO,2.28,YES,1.769,3.08,-5.44,NO,3.55,YES,2.865,75.966,GAUCHE,-158.241,-78.877,-113.098,WT_Dimer_validated_mini00002.yob
3,YES,2.173,YES,1.901,3.516,-5.44,NO,3.82,YES,2.76,54.364,GAUCHE,-162.263,-68.884,-128.636,WT_Dimer_validated_mini00003.yob
4,NO,2.516,YES,1.681,3.308,-5.44,NO,3.595,YES,3.006,84.856,GAUCHE,-150.349,-73.333,-122.681,WT_Dimer_validated_mini00004.yob
5,YES,1.881,YES,1.832,3.399,-5.44,NO,4.007,YES,2.94,64.619,GAUCHE,-142.447,-79.574,-128.673,WT_Dimer_validated_mini00005.yob
6,YES,2.332,YES,1.899,3.171,-5.44,NO,4.057,NO,3.07,82.271,GAUCHE,-134.708,-71.949,-128.346,WT_Dimer_validated_mini00006.yob
7,YES,1.665,YES,1.822,3.216,-5.44,NO,3.596,YES,2.951,62.685,GAUCHE,-160.377,-87.35,-138.51,WT_Dimer_validated_mini00007.yob
8,YES,2.042,YES,1.781,3.562,-5.44,NO,4.578,YES,2.996,87.389,GAUCHE,-144.256,-90.22,-136.881,WT_Dimer_validated_mini00008.yob
9,NO,2.334,YES,1.716,3.465,-5.44,NO,3.51,YES,3.234,69.238,GAUCHE,-156.213,-78.192,-124.095,WT_Dimer_validated_mini00009.yob
10,NO,2.827,YES,1.8,3.339,-5.44,NO,3.485,YES,3.152,73.657,GAUCHE,-157.8,-75.089,-114.282,WT_Dimer_validated_mini00010.yob
11,YES,1.765,YES,1.678,3.029,-5.44,YES,3.305,YES,2.924,85.944,GAUCHE,-143.572,-76.71,-118.046,WT_Dimer_validated_mini00011.yob
12,YES,1.998,YES,1.811,3.523,-5.44,NO,4.144,YES,3.01,68.072,GAUCHE,-150.839,-77.334,-123.516,WT_Dimer_validated_mini00012.yob
13,YES,2.12,YES,1.802,3.04,-5.44,NO,3.572,YES,2.914,79.613,GAUCHE,-162.287,-76.606,-110.548,WT_Dimer_validated_mini00013.yob
