FRAME,HB_SER_HIS,DISTANCE_SER_HIS,HB_HIS_ASP,DISTANCE_HIS_ASP,DISTANCE_SER,ENERGY,OX_HB_MET,DISTANCE_MET,OX_HB_TYR,DISTANCE_TYR,DIHEDRAL,CONFORMATION,DIHEDRAL_159,DIHEDRAL_185,DIHEDRAL_237,STRUCTURE
0,NO,2.29,YES,1.787,3.15,-5.35,YES,3.247,YES,2.871,67.99,GAUCHE,83.339,-81.858,-133.807,DuraPETase_dimer_validated_mini00000.yob
1,YES,1.967,YES,2.003,2.95,-5.35,YES,3.059,YES,2.828,43.531,UNDEFINED,64.677,-77.905,-138.306,DuraPETase_dimer_validated_mini00001.yob
2,NO,2.289,YES,1.755,2.898,-5.35,NO,3.656,YES,2.755,56.634,GAUCHE,83.786,-96.444,-107.203,DuraPETase_dimer_validated_mini00002.yob
3,YES,2.196,YES,1.843,3.393,-5.35,NO,4.356,YES,3.09,26.342,UNDEFINED,72.66,-76.223,-124.38,DuraPETase_dimer_validated_mini00003.yob
4,YES,2.302,YES,1.881,3.964,-5.35,NO,4.684,YES,3.055,36.703,UNDEFINED,53.658,-78.169,-109.044,DuraPETase_dimer_validated_mini00004.yob
5,NO,2.492,YES,1.898,3.638,-5.35,NO,4.934,YES,2.677,19.601,UNDEFINED,71.813,-78.117,-105.111,DuraPETase_dimer_validated_mini00005.yob
6,YES,1.923,YES,1.85,3.742,-5.35,NO,4.829,NO,2.974,20.477,UNDEFINED,47.687,-92.2,-121.623,DuraPETase_dimer_validated_mini00006.yob
7,YES,2.036,YES,1.764,3.888,-5.35,NO,5.254,NO,3.038,21.509,UNDEFINED,53.793,-66.333,-107.49,DuraPETase_dimer_validated_mini00007.yob
8,YES,2.214,YES,1.758,3.631,-5.35,NO,4.593,YES,2.933,31.283,UNDEFINED,82.307,-75.034,-111.376,DuraPETase_dimer_validated_mini00008.yob
9,YES,2.108,YES,1.638,3.925,-5.35,NO,5.267,YES,3.059,1.478,UNDEFINED,85.137,-74.148,-112.787,DuraPETase_dimer_validated_mini00009.yob
10,YES,1.808,YES,1.756,3.285,-5.35,NO,3.815,YES,2.746,61.477,GAUCHE,49.11,-83.905,-135.842,DuraPETase_dimer_validated_mini00010.yob
11,YES,2.138,YES,1.844,3.774,-5.35,NO,4.607,YES,2.834,29.558,UNDEFINED,42.356,-71.023,-113.932,DuraPETase_dimer_validated_mini00011.yob
12,YES,2.197,YES,1.835,3.102,-5.35,NO,3.943,YES,2.721,51.461,GAUCHE,65.228,-83.626,-97.923,DuraPETase_dimer_validated_mini00012.yob
